pair,pvalue,pass_standard,pass_bonferroni,corr,holm_alpha,pass_holm
SHEL_BP,0.020920183864969345,True,False,0.8890316337016421,0.0071428571428571435,False
NEE_DUK,0.11582951192704555,False,False,0.7739062483443758,0.008333333333333333,False
ENPH_SEDG,0.14278229376957569,False,False,0.4743072865505631,0.01,False
MPC_VLO,0.3006156831625637,False,False,0.8368146097677897,0.0125,False
SLB_HAL,0.526383372070702,False,False,0.8530935659008406,0.016666666666666666,False
XOM_CVX,0.7027592307409964,False,False,0.8319536695171083,0.025,False
VWS_NDX1,0.9333870214633748,False,False,0.5151725574852121,0.05,False
